captured_at,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_flags,payload_hash
2026-04-20T08:00:06.088602Z,10.2.153.239,8.8.8.8,55608,53,UDP,86,,dns_q_22
2026-04-20T08:00:06.137418Z,8.8.8.8,10.2.153.239,53,55608,UDP,420,,dns_r_22
2026-04-20T08:01:40.000000Z,10.7.247.120,10.8.223.212,57946,22,TCP,60,SYN,ssh_syn
2026-04-20T08:01:40.020000Z,10.8.223.212,10.7.247.120,22,57946,TCP,60,"SYN,ACK",ssh_synack
2026-04-20T08:01:40.030000Z,10.7.247.120,10.8.223.212,57946,22,TCP,566,ACK,ssh_data_0
2026-04-20T08:01:41.179972Z,10.8.223.212,10.7.247.120,22,57946,TCP,563,ACK,ssh_data_1
2026-04-20T08:01:45.953844Z,10.8.223.212,10.7.247.120,22,57946,TCP,752,"ACK,PSH",ssh_data_2
2026-04-20T08:01:52.835990Z,10.7.247.120,10.8.223.212,57946,22,TCP,498,"ACK,PSH",ssh_data_3
2026-04-20T08:01:55.273633Z,10.7.247.120,10.8.223.212,57946,22,TCP,629,ACK,ssh_data_4
2026-04-20T08:01:59.139489Z,10.1.16.207,203.0.161.103,57925,443,TCP,60,SYN,syn_1
2026-04-20T08:01:59.186015Z,203.0.161.103,10.1.16.207,443,57925,TCP,60,"SYN,ACK",synack_1
2026-04-20T08:01:59.207358Z,10.1.16.207,203.0.161.103,57925,443,TCP,1222,ACK,data_1_0
2026-04-20T08:01:59.408196Z,203.0.161.103,10.1.16.207,443,57925,TCP,1139,ACK,data_1_1
2026-04-20T08:01:59.483918Z,10.1.16.207,203.0.161.103,57925,443,TCP,1349,ACK,data_1_2
2026-04-20T08:01:59.648338Z,10.7.247.120,10.8.223.212,57946,22,TCP,558,ACK,ssh_data_5
2026-04-20T08:01:59.755711Z,203.0.161.103,10.1.16.207,443,57925,TCP,1077,ACK,data_1_3
2026-04-20T08:02:00.205134Z,10.1.16.207,203.0.161.103,57925,443,TCP,649,ACK,data_1_4
2026-04-20T08:02:00.703810Z,10.1.16.207,203.0.161.103,57925,443,TCP,1210,ACK,data_1_5
2026-04-20T08:02:00.753810Z,10.1.16.207,203.0.161.103,57925,443,TCP,424,ACK,data_1_6
2026-04-20T08:02:00.834467Z,10.1.16.207,203.0.161.103,57925,443,TCP,1064,ACK,data_1_7
2026-04-20T08:02:01.134689Z,10.1.16.207,203.0.161.103,57925,443,TCP,1420,ACK,data_1_8
2026-04-20T08:02:01.632769Z,10.1.16.207,203.0.161.103,57925,443,TCP,1333,ACK,data_1_9
2026-04-20T08:02:02.063855Z,10.1.16.207,203.0.161.103,57925,443,TCP,434,ACK,data_1_10
2026-04-20T08:02:02.406302Z,10.1.16.207,203.0.161.103,57925,443,TCP,746,ACK,data_1_11
2026-04-20T08:02:02.791758Z,10.1.16.207,203.0.161.103,57925,443,TCP,801,ACK,data_1_12
2026-04-20T08:02:03.011967Z,10.1.16.207,203.0.161.103,57925,443,TCP,739,ACK,data_1_13
2026-04-20T08:02:03.498052Z,203.0.161.103,10.1.16.207,443,57925,TCP,1239,ACK,data_1_14
2026-04-20T08:02:03.812672Z,10.8.223.212,10.7.247.120,22,57946,TCP,1039,ACK,ssh_data_6
2026-04-20T08:02:03.954802Z,203.0.161.103,10.1.16.207,443,57925,TCP,811,ACK,data_1_15
2026-04-20T08:02:04.376429Z,10.1.16.207,203.0.161.103,57925,443,TCP,607,ACK,data_1_16
2026-04-20T08:02:04.457084Z,10.1.16.207,203.0.161.103,57925,443,TCP,40,"FIN,ACK",fin_1
2026-04-20T08:02:07.993832Z,10.8.223.212,10.7.247.120,22,57946,TCP,254,"ACK,PSH",ssh_data_7
2026-04-20T08:02:11.526840Z,10.7.247.120,10.8.223.212,57946,22,TCP,819,ACK,ssh_data_8
2026-04-20T08:02:16.008755Z,10.7.247.120,10.8.223.212,57946,22,TCP,1191,"ACK,PSH",ssh_data_9
2026-04-20T08:02:21.780167Z,10.7.247.120,10.8.223.212,57946,22,TCP,578,"ACK,PSH",ssh_data_10
2026-04-20T08:02:27.689799Z,10.7.247.120,10.8.223.212,57946,22,TCP,1161,ACK,ssh_data_11
2026-04-20T08:02:33.366026Z,10.7.247.120,10.8.223.212,57946,22,TCP,1055,"ACK,PSH",ssh_data_12
2026-04-20T08:02:38.287928Z,10.8.223.212,10.7.247.120,22,57946,TCP,643,ACK,ssh_data_13
2026-04-20T08:02:45.032640Z,10.7.247.120,10.8.223.212,57946,22,TCP,803,"ACK,PSH",ssh_data_14
2026-04-20T08:02:45.638753Z,10.8.223.212,10.7.247.120,22,57946,TCP,625,"ACK,PSH",ssh_data_15
2026-04-20T08:02:46.547698Z,10.7.247.120,10.8.223.212,57946,22,TCP,322,ACK,ssh_data_16
2026-04-20T08:02:52.693640Z,10.7.247.120,10.8.223.212,57946,22,TCP,89,ACK,ssh_data_17
2026-04-20T08:02:56.714117Z,10.7.247.120,10.8.223.212,57946,22,TCP,441,ACK,ssh_data_18
2026-04-20T08:02:59.107705Z,10.8.223.212,10.7.247.120,22,57946,TCP,297,ACK,ssh_data_19
2026-04-20T08:03:02.613010Z,10.7.247.120,10.8.223.212,57946,22,TCP,173,"ACK,PSH",ssh_data_20
2026-04-20T08:03:09.196576Z,10.8.223.212,10.7.247.120,22,57946,TCP,238,ACK,ssh_data_21
2026-04-20T08:03:10.584963Z,10.8.223.212,10.7.247.120,22,57946,TCP,526,ACK,ssh_data_22
2026-04-20T08:03:13.937798Z,10.8.223.212,10.7.247.120,22,57946,TCP,672,ACK,ssh_data_23
2026-04-20T08:03:21.863032Z,10.7.247.120,10.8.223.212,57946,22,TCP,187,ACK,ssh_data_24
2026-04-20T08:03:27.913702Z,10.8.223.212,10.7.247.120,22,57946,TCP,489,ACK,ssh_data_25
2026-04-20T08:03:30.398548Z,10.7.247.120,10.8.223.212,57946,22,TCP,555,"ACK,PSH",ssh_data_26
2026-04-20T08:03:31.461535Z,10.7.247.120,10.8.223.212,57946,22,TCP,986,ACK,ssh_data_27
2026-04-20T08:03:35.485878Z,10.7.247.120,10.8.223.212,57946,22,TCP,654,ACK,ssh_data_28
2026-04-20T08:03:41.258285Z,10.7.247.120,10.8.223.212,57946,22,TCP,542,ACK,ssh_data_29
2026-04-20T08:03:47.666995Z,10.8.223.212,10.7.247.120,22,57946,TCP,469,ACK,ssh_data_30
2026-04-20T08:03:52.251213Z,10.8.223.212,10.7.247.120,22,57946,TCP,608,ACK,ssh_data_31
2026-04-20T08:03:53.286787Z,10.7.247.120,10.8.223.212,57946,22,TCP,693,ACK,ssh_data_32
2026-04-20T08:03:59.968589Z,10.8.223.212,10.7.247.120,22,57946,TCP,963,"ACK,PSH",ssh_data_33
2026-04-20T08:04:05.633674Z,10.8.223.212,10.7.247.120,22,57946,TCP,621,ACK,ssh_data_34
2026-04-20T08:04:09.837138Z,10.7.247.120,10.8.223.212,57946,22,TCP,145,ACK,ssh_data_35
2026-04-20T08:04:11.168271Z,10.1.57.7,203.0.140.63,56466,443,TCP,60,SYN,syn_0
2026-04-20T08:04:11.182371Z,203.0.140.63,10.1.57.7,443,56466,TCP,60,"SYN,ACK",synack_0
2026-04-20T08:04:11.207185Z,10.1.57.7,203.0.140.63,56466,443,TCP,1064,ACK,data_0_0
2026-04-20T08:04:11.227917Z,10.1.57.7,203.0.140.63,56466,443,TCP,676,ACK,data_0_1
2026-04-20T08:04:11.483068Z,10.1.57.7,203.0.140.63,56466,443,TCP,607,ACK,data_0_2
2026-04-20T08:04:11.842498Z,203.0.140.63,10.1.57.7,443,56466,TCP,1059,ACK,data_0_3
2026-04-20T08:04:11.956616Z,10.1.57.7,203.0.140.63,56466,443,TCP,213,ACK,data_0_4
2026-04-20T08:04:12.337225Z,10.1.57.7,203.0.140.63,56466,443,TCP,1065,ACK,data_0_5
2026-04-20T08:04:12.510649Z,10.1.57.7,203.0.140.63,56466,443,TCP,889,ACK,data_0_6
2026-04-20T08:04:12.566243Z,10.1.57.7,203.0.140.63,56466,443,TCP,935,ACK,data_0_7
2026-04-20T08:04:12.990753Z,203.0.140.63,10.1.57.7,443,56466,TCP,288,ACK,data_0_8
2026-04-20T08:04:13.356970Z,10.1.57.7,203.0.140.63,56466,443,TCP,975,ACK,data_0_9
2026-04-20T08:04:13.400976Z,10.1.57.7,203.0.140.63,56466,443,TCP,940,ACK,data_0_10
2026-04-20T08:04:13.691766Z,203.0.140.63,10.1.57.7,443,56466,TCP,293,ACK,data_0_11
2026-04-20T08:04:14.024091Z,203.0.140.63,10.1.57.7,443,56466,TCP,363,ACK,data_0_12
2026-04-20T08:04:14.452473Z,203.0.140.63,10.1.57.7,443,56466,TCP,978,ACK,data_0_13
2026-04-20T08:04:14.595070Z,203.0.140.63,10.1.57.7,443,56466,TCP,947,ACK,data_0_14
2026-04-20T08:04:14.680584Z,10.1.57.7,203.0.140.63,56466,443,TCP,746,ACK,data_0_15
2026-04-20T08:04:15.032985Z,203.0.140.63,10.1.57.7,443,56466,TCP,346,ACK,data_0_16
2026-04-20T08:04:15.339505Z,10.1.57.7,203.0.140.63,56466,443,TCP,701,ACK,data_0_17
2026-04-20T08:04:15.425389Z,10.1.57.7,203.0.140.63,56466,443,TCP,1340,ACK,data_0_18
2026-04-20T08:04:15.539099Z,10.1.57.7,203.0.140.63,56466,443,TCP,314,ACK,data_0_19
